I_SECURITY,I_COMPANY,I_MARKET,I_INDUSTRY,I_SECTOR,I_SUBSECTOR,I_SEC_TYPE,N_SECURITY,N_SECURITY_T,N_SECURITY_E,I_SECURITY_LOCAL,I_ISIN,I_NATIVE
0,0,A,0,0,0,S,SET                 ,,,0,              ,L
1,1,A,3,2,0,S,BBL                 ,,,1,TH0001010006  ,L
2,1,A,3,2,0,F,BBL-F               ,,,1,TH0001010014  ,F
3,1,A,3,2,0,S,BBL-R               ,,,1,TH0001010R16  ,R
4,2,A,7,5,0,S,BJC                 ,,,4,TH0002010Z06  ,L
5,2,A,7,5,0,F,BJC-F               ,,,4,TH0002010Z14  ,F
6,2,A,7,5,0,S,BJC-R               ,,,4,TH0002010R14  ,R
7,2,A,7,5,0,S,BJC-U               ,,,4,TH0002010U19  ,U
8,2,A,0,0,0,P,BJC-P               ,,,8,              ,L
9,3,A,5,3,0,S,SCC                 ,,,9,TH0003010Z04  ,L
10,3,A,5,3,0,F,SCC-F               ,,,9,TH0003010Z12  ,F
11,3,A,5,3,0,S,SCC-R               ,,,9,TH0003010R12  ,R
12,4,A,4,21,0,S,TGI                 ,,,12,TH0004010003  ,L
13,4,A,4,21,0,F,TGI-F               ,,,12,TH0004010011  ,F
14,5,A,3,11,0,S,AIFT                ,,,14,TH0005010002  ,L
15,5,A,3,11,0,F,AIFT-F              ,,,14,TH0005010010  ,F
16,5,A,3,11,0,S,AIFT-R              ,,,14,TH0005010R17  ,R
17,6,A,4,21,0,S,CMBT                ,,,17,TH0006010Z07  ,L
18,6,A,4,21,0,F,CMBT-F              ,,,17,TH0006010Z15  ,F
19,6,A,4,21,0,S,CMBT-R              ,,,17,TH0006010R15  ,R
20,7,A,7,14,0,S,DTC                 ,,,20,TH0007A10Z06  ,L
21,7,A,7,14,0,F,DTC-F               ,,,20,TH0007A10Z14  ,F
22,7,A,7,14,0,S,DTC-R               ,,,20,TH0007010R13  ,R
23,83,A,3,2,0,S,TCAP                ,,,23,TH0083A10Z03  ,L
24,83,A,3,2,0,F,TCAP-F              ,,,23,TH0083A10Z11  ,F
25,83,A,3,2,0,S,TCAP-R              ,,,23,TH0083010R14  ,R
26,8,A,5,3,0,S,JCC                 ,,,26,TH0008010009  ,L
27,8,A,5,3,0,F,JCC-F               ,,,26,TH0008010017  ,F
28,8,A,5,3,0,S,JCC-R               ,,,26,TH0008010R11  ,R
29,10,A,2,27,0,S,SUC                 ,,,29,TH0010010005  ,L
30,10,A,2,27,0,F,SUC-F               ,,,29,TH0010010013  ,F
31,10,A,2,27,0,S,SUC-R               ,,,29,TH0010010R17  ,R
32,9,A,1,12,0,S,SSC                 ,,,32,TH0009010Y02  ,L
33,9,A,1,12,0,F,SSC-F               ,,,32,TH0009010Y10  ,F
34,9,A,1,12,0,S,SSC-R               ,,,32,TH0009010R19  ,R
35,12,A,4,32,0,S,CTW                 ,,,35,TH0012010Z05  ,L
36,12,A,4,32,0,F,CTW-F               ,,,35,TH0012010Z13  ,F
37,12,A,4,32,0,S,CTW-R               ,,,35,TH0012010R13  ,R
38,14,A,3,2,0,S,BMB                 ,,,38,TH0014010001  ,L
39,14,A,3,2,0,F,BMB-F               ,,,38,TH0014010019  ,F
40,14,A,3,2,0,S,BMB-R               ,,,38,TH0014010R19  ,R
41,16,A,3,2,0,S,KBANK               ,,,41,TH0016010009  ,L
42,16,A,3,2,0,F,KBANK-F             ,,,41,TH0016010017  ,F
43,16,A,3,2,0,S,KBANK-R             ,,,41,TH0016010R14  ,R
44,15,A,3,2,0,S,SCB                 ,,,44,TH0015010000  ,L
45,15,A,3,2,0,F,SCB-F               ,,,44,TH0015010018  ,F
46,15,A,3,2,0,S,SCB-R               ,,,44,TH0015010R16  ,R
47,13,A,3,2,0,S,IFCT                ,,,47,TH0013010002  ,L
48,13,A,3,2,0,F,IFCT-F              ,,,47,TH0013010010  ,F
49,13,A,3,2,0,S,IFCT-R              ,,,47,TH0013010R11  ,R
50,17,A,2,27,0,S,BATA                ,,,50,TH0017010008  ,L
51,17,A,2,27,0,S,BATA-R              ,,,50,TH0017010R12  ,R
52,11,A,2,27,0,S,AFC                 ,,,52,TH0011010004  ,L
53,11,A,2,27,0,F,AFC-F               ,,,52,TH0011010012  ,F
54,11,A,2,27,0,S,AFC-R               ,,,52,TH0011010R15  ,R
55,18,A,3,2,0,S,DTDB                ,,,55,TH0018010007  ,L
56,18,A,3,2,0,F,DTDB-F              ,,,55,TH0018010015  ,F
57,18,A,3,2,0,S,DTDB-R              ,,,55,TH0018010R10  ,R
58,19,A,3,16,0,S,TIC                 ,,,58,TH0019010006  ,L
59,19,A,3,16,0,S,TIC-R               ,,,58,TH0019010R18  ,R
60,20,A,3,16,0,S,SAFE                ,,,60,TH0020010003  ,L
61,20,A,3,16,0,S,SAFE-R              ,,,60,TH0020010R16  ,R
62,21,A,5,3,0,S,SCCC                ,,,62,TH0021010Z06  ,L
63,21,A,5,3,0,F,SCCC-F              ,,,62,TH0021010Z14  ,F
64,21,A,5,3,0,S,SCCC-R              ,,,62,TH0021010R14  ,R
65,22,A,3,11,0,S,GF                  ,,,65,TH0022010001  ,L
66,22,A,3,11,0,F,GF-F                ,,,65,TH0022010019  ,F
67,23,A,3,2,0,S,BAY                 ,,,67,TH0023010000  ,L
68,23,A,3,2,0,F,BAY-F               ,,,67,TH0023010018  ,F
69,23,A,3,2,0,S,BAY-R               ,,,67,TH0023010R10  ,R
70,24,A,2,27,0,S,NC                  ,,,70,TH0024010009  ,L
71,24,A,2,27,0,F,NC-F                ,,,70,TH0024010017  ,F
72,24,A,2,27,0,S,NC-R                ,,,70,TH0024010R18  ,R
73,25,A,5,3,0,S,CIT                 ,,,73,TH0025010008  ,L
74,25,A,5,3,0,F,CIT-F               ,,,73,TH0025010016  ,F
75,26,A,4,21,0,S,CSC                 ,,,75,TH0026010007  ,L
76,26,A,4,21,0,F,CSC-F               ,,,75,TH0026010015  ,F
77,26,A,4,21,0,S,CSC-R               ,,,75,TH0026010R13  ,R
